epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,173.432,0.94443,1.2787,1.31381,0.84267,0.48535,0.55417,0.273,1.67038,1.96239,1.42349,2.55731e-05,2.55731e-05,2.55731e-05
72,175.799,0.59488,0.63807,1.07469,0.84101,0.48484,0.54199,0.2709,1.7426,2.00996,1.45319,2.5102e-05,2.5102e-05,2.5102e-05
73,178.148,0.68453,0.90502,1.04358,0.84101,0.48484,0.54199,0.2709,1.7426,2.00996,1.45319,2.46073e-05,2.46073e-05,2.46073e-05
74,180.498,0.72965,0.60098,1.21957,0.84101,0.48484,0.54199,0.2709,1.7426,2.00996,1.45319,2.40891e-05,2.40891e-05,2.40891e-05
75,182.903,0.72962,0.55297,1.14054,0.8355,0.48936,0.54999,0.27036,1.80261,2.00987,1.47704,2.35472e-05,2.35472e-05,2.35472e-05
76,185.258,0.63486,0.73319,1.12867,0.8355,0.48936,0.54999,0.27036,1.80261,2.00987,1.47704,2.29819e-05,2.29819e-05,2.29819e-05
77,187.595,0.68179,0.65841,1.11207,0.8355,0.48936,0.54999,0.27036,1.80261,2.00987,1.47704,2.23929e-05,2.23929e-05,2.23929e-05
78,189.982,0.87937,1.01264,1.18747,0.8341,0.48745,0.54433,0.26761,1.76181,2.03517,1.45774,2.17805e-05,2.17805e-05,2.17805e-05
79,192.334,0.60037,0.78297,1.0984,0.8341,0.48745,0.54433,0.26761,1.76181,2.03517,1.45774,2.11444e-05,2.11444e-05,2.11444e-05
80,194.604,0.70227,0.73295,1.16208,0.8341,0.48745,0.54433,0.26761,1.76181,2.03517,1.45774,2.04848e-05,2.04848e-05,2.04848e-05
81,197,0.51469,0.50467,0.97501,0.83782,0.48685,0.53445,0.25852,1.80107,2.07555,1.48664,1.98016e-05,1.98016e-05,1.98016e-05
82,199.321,0.80859,0.67325,1.14334,0.83782,0.48685,0.53445,0.25852,1.80107,2.07555,1.48664,1.90949e-05,1.90949e-05,1.90949e-05
83,201.583,0.75178,0.81768,1.17901,0.83782,0.48685,0.53445,0.25852,1.80107,2.07555,1.48664,1.83646e-05,1.83646e-05,1.83646e-05
84,203.943,0.78311,0.567,1.20406,0.84178,0.48291,0.53682,0.26511,1.84166,2.10238,1.51159,1.76107e-05,1.76107e-05,1.76107e-05
85,206.315,0.57097,0.74601,1.11242,0.84178,0.48291,0.53682,0.26511,1.84166,2.10238,1.51159,1.68333e-05,1.68333e-05,1.68333e-05
86,208.631,0.7383,0.67397,1.10099,0.84178,0.48291,0.53682,0.26511,1.84166,2.10238,1.51159,1.60323e-05,1.60323e-05,1.60323e-05
87,211.008,0.75799,0.80175,1.05536,0.84178,0.48291,0.53682,0.26511,1.84166,2.10238,1.51159,1.52077e-05,1.52077e-05,1.52077e-05
88,213.387,0.79776,0.87807,1.38295,0.84,0.48274,0.53433,0.26423,1.85338,2.10775,1.51156,1.43596e-05,1.43596e-05,1.43596e-05
89,215.695,0.99978,0.93479,1.48378,0.84,0.48274,0.53433,0.26423,1.85338,2.10775,1.51156,1.34879e-05,1.34879e-05,1.34879e-05
90,218.063,0.65036,0.63882,1.01088,0.84,0.48274,0.53433,0.26423,1.85338,2.10775,1.51156,1.25927e-05,1.25927e-05,1.25927e-05
